  0.87
 r 0.04
 l 0.09
quill nn 1.00
vibrionic jj 1.00
loped vb 1.00
doubtful jj 1.00
out-reaching jj 1.00
archaism nn 1.00
block-buster nn 1.00
Maguires nn 1.00
Defrost vb 1.00
biplane nn 1.00
retentive jj 1.00
Gossip nn 1.00
memoranda nn 1.00
screenland nn 1.00
operetta nn 1.00
semi-precious jj 1.00
Decca nn 1.00
earrings nn 1.00
adulterers nn 1.00
triplets nn 1.00
heritage nn 1.00
Anti-recession jj 1.00
Meadow nn 0.80
Meadow jj 0.20
1949 cd 1.00
aku nn 1.00
Sommers nn 1.00
funnier jj 1.00
petitioner nn 1.00
Gums nn 1.00
trip nn 0.99
trip vb 0.01
parched vb 1.00
trim jj 0.25
trim nn 0.31
trim vb 0.44
$.07 nn 0.75
$.07 cwt 0.25
trio nn 1.00
non-academic jj 1.00
035 cd 1.00
17-1 2-i 1.00
Kline nn 1.00
Detail nn 1.00
petitioned vb 1.00
timely jj 0.89
timely advb 0.11
ideologies nn 1.00
species nn 1.00
endevor nn 1.00
provenance nn 1.00
Roles nn 1.00
adminstration nn 1.00
target-language nn 1.00
Hawthorne nn 1.00
piloting nn 1.00
reexamine vb 1.00
casino's nn 1.00
industry-wide jj 1.00
so's cs 1.00
Troubled vb 1.00
phonemes nn 1.00
pastime nn 1.00
App. nn 1.00
suffering nn 0.32
suffering vb 0.68
magician nn 1.00
Budweisers nn 1.00
anti-Semites nn 1.00
lobscouse nn 1.00
manners nn 1.00
Georgia's np$ 1.00
purchaser's nn 1.00
earthenware nn 1.00
purity nn 1.00
Measured vb 1.00
Gre. nn 1.00
cassocked jj 1.00
flatteringly ql 1.00
first-families nn 1.00
Lumber nn 1.00
bullish jj 1.00
second-hand nn 1.00
Overt jj 1.00
teakwood nn 1.00
25,000,000 cd 1.00
Birds' nn 1.00
self-certainty nn 1.00
group nn 0.99
group vb 0.01
Jed's np$ 1.00
realigning vb 1.00
ginkgo nn 1.00
SMU nn 1.00
Everest nn 1.00
farmhouses nn 1.00
Renovo nn 1.00
Gershwins' nn 1.00
3.15 cd 1.00
lugged vb 1.00
Antone nn 1.00
3.10 cd 1.00
Greg nn 1.00
shone vb 1.00
Grey nn 1.00
selected vb 1.00
isotonic jj 1.00
Antony nn 1.00
personifying vb 1.00
Braille nn 1.00
pre-primary nn 1.00
4911 cd 1.00
three-round jj 1.00
Winooski nn 1.00
fiend nn 1.00
Vermejo nn 1.00
sequestration nn 1.00
oriental jj 1.00
Recognizing vb 1.00
Draco nn 1.00
Contributions nn 1.00
notions nn 1.00
Pauling's np$ 1.00
undeveloped jj 1.00
buckshot nn 1.00
Cover nn 0.33
Cover vb 0.67
pimplike jj 1.00
heartbreaking jj 1.00
Loen nn 1.00
Howard nn 1.00
admittedly advb 1.00
Loeb nn 1.00
pride's nn 1.00
fascinate vb 1.00
Peacocks nn 1.00
Sorrentine nn 1.00
